"id","dt","2020100409","2020100412","2020100415","2020100418","2020100421","2020100424","2020100503","2020100506","2020100509","2020100512","2020100515","2020100518","2020100521","2020100524","2020100603","2020100606","2020100609","2020100612","2020100615","2020100618","2020100621","2020100624"
"15431","2020/10/04 08:25","170","180","160","140","120","120","120","140","190","170","160","130","120","100","100","120","140","150","150","120","110","90"
"15442","2020/10/04 08:25","160","160","150","110","100","110","130","140","170","150","140","100","100","80","70","90","120","150","130","100","100","80"
"16026","2020/10/04 08:25","150","160","160","120","110","100","110","120","150","160","150","100","90","70","90","90","130","140","140","90","80","80"
"16061","2020/10/04 08:25","170","180","170","140","130","110","140","140","140","160","140","110","110","100","110","110","130","150","140","130","120","120"
"16076","2020/10/04 08:25","150","160","160","120","120","120","120","120","140","160","150","100","100","90","100","110","140","140","140","100","100","90"
"16091","2020/10/04 08:25","170","170","160","130","130","120","130","130","170","160","150","110","110","100","100","120","140","160","150","130","120","110"
"16156","2020/10/04 08:25","160","160","150","140","120","130","120","140","140","150","150","110","100","90","120","120","140","150","140","120","90","90"
"16206","2020/10/04 08:25","130","160","150","130","120","120","110","120","140","140","150","110","90","80","110","120","140","140","140","120","90","70"
"16217","2020/10/04 08:25","140","160","150","130","110","120","110","110","140","150","140","100","90","90","100","110","130","130","130","120","90","80"
"16252","2020/10/04 08:25","170","160","140","140","130","130","140","130","140","160","160","110","100","100","120","120","140","150","150","120","110","110"
"16281","2020/10/04 08:25","130","130","130","110","100","100","110","130","120","130","120","80","70","60","80","90","110","120","120","100","80","70"
"16286","2020/10/04 08:25","120","150","140","100","100","100","90","110","150","140","130","90","90","90","90","120","140","130","130","90","60","40"
"16321","2020/10/04 08:25","140","150","150","130","130","130","130","120","130","150","160","110","100","100","110","120","130","140","140","110","80","70"
"17036","2020/10/04 08:25","170","170","160","140","130","130","120","110","170","170","140","110","110","100","110","120","150","150","150","110","90","70"
"17076","2020/10/04 08:25","160","160","150","130","120","120","120","100","170","170","140","100","100","100","100","120","150","150","130","110","80","70"
"17091","2020/10/04 08:25","120","140","140","110","110","110","100","90","180","150","140","90","100","100","100","110","140","150","140","90","60","50"
"17112","2020/10/04 08:25","180","150","160","140","130","130","120","120","180","180","150","110","100","110","100","110","130","150","150","120","110","90"
"17166","2020/10/04 08:25","170","150","150","130","120","120","120","110","170","190","150","90","80","80","70","90","130","150","140","110","90","80"
"17196","2020/10/04 08:25","140","130","140","120","110","110","110","90","170","160","130","100","100","120","120","120","140","140","130","90","70","50"
"17246","2020/10/04 08:25","190","170","140","130","130","130","110","120","190","200","170","100","90","90","70","90","130","160","150","100","90","80"
"17306","2020/10/04 08:25","140","150","150","130","120","110","120","110","160","170","140","100","90","90","90","110","130","140","130","110","90","60"
"17316","2020/10/04 08:25","160","140","140","120","130","120","120","110","170","180","150","90","90","100","90","110","130","150","140","100","90","70"
"17341","2020/10/04 08:25","170","150","140","140","140","130","130","130","180","210","180","110","100","90","80","90","130","160","140","120","100","100"
"17351","2020/10/04 08:25","180","170","160","140","130","110","120","150","170","210","200","100","80","80","80","90","120","140","130","80","70","70"
"17482","2020/10/04 08:25","140","120","120","110","100","90","90","110","150","150","110","80","80","70","70","90","130","120","110","80","70","50"
